Country,Region,Continent
Nepal,Asia,Asia
Belarus,Europe,Europe
Switzerland,Europe,Europe
Vatican City,Europe,Europe
Afghanistan,Asia,Asia
Albania,Europe,Europe
Algeria,Africa,Africa
American Samoa,Oceania,Asia
Andorra,Europe,Europe
Angola,Africa,Africa
Anguilla,S America,America
Antigua and Barbuda,S America,America
Argentina,S America,America
Armenia,Asia,Asia
Aruba,S America,America
Australia,Australia,Australia
Austria,Europe,Europe
Azerbaijan,Asia,Asia
Bahamas,C America,America
Bahrain,Asia,Asia
Bangladesh,Asia,Asia
Barbados,S America,America
Belgium,Europe,Europe
Belize,C America,America
Benin,Africa,Africa
Bermuda,C America,America
Bhutan,Asia,Asia
Bolivia,S America,America
Bosnia and Herz.,Europe,Europe
Botswana,Africa,Africa
Brazil,S America,America
British Virgin Islands,S America,America
Brunei,Asia,Asia
Bulgaria,Europe,Europe
Burkina Faso,Africa,Africa
Burundi,Africa,Africa
Cabo Verde,Africa,Africa
Cambodia,Asia,Asia
Cameroon,Africa,Africa
Canada,N America,America
Cayman Islands,S America,America
Central African Rep.,Africa,Africa
Chad,Africa,Africa
Chile,S America,America
China,Asia,Asia
Colombia,S America,America
Comoros,Africa,Africa
Congo,Africa,Africa
Cook Is.,Oceania,Asia
Costa Rica,C America,America
Côte d'Ivoire,Africa,Africa
Croatia,Europe,Europe
Cuba,C America,America
Cyprus,Asia,Asia
Czechia,Europe,Europe
Denmark,Europe,Europe
Djibouti,Africa,Africa
Dominica,S America,America
Dominican Rep.,C America,America
Ecuador,S America,America
Egypt,Africa,Africa
El Salvador,C America,America
Equatorial Guinea,Africa,Africa
Eritrea,Africa,Africa
Estonia,Europe,Europe
Eswatini,Africa,Africa
Ethiopia,Africa,Africa
Falkland Is.,S America,America
Faroe Islands,Europe,Europe
Fiji,Oceania,Asia
Finland,Europe,Europe
France,Europe,Europe
French Guiana,S America,America
French Polynesia,Oceania,Asia
Gabon,Africa,Africa
Georgia,Europe,Europe
Germany,Europe,Europe
Ghana,Africa,Africa
Gibraltar,Europe,Europe
Greece,Europe,Europe
Greenland,S America,America
Grenada,S America,America
Guadeloupe,S America,America
Guam,Oceania,Asia
Guatemala,C America,America
Guinea,Africa,Africa
Guinea-Bissau,Africa,Africa
Guyana,S America,America
Haiti,S America,America
Honduras,C America,America
Hong Kong,Asia,Asia
Hungary,Europe,Europe
Iceland,Europe,Europe
India,Asia,Asia
Indonesia,Asia,Asia
Iran,Asia,Asia
Iraq,Asia,Asia
Ireland,Europe,Europe
Isle of Man,Europe,Europe
